experiment,sample,substrate,abs,e,buffer,pH,T,[enz],[h2o2],[sub]
143,7,BnOH,285,1.23,Pyrophosphate,9.73,25,0.021,5.14,10.816
139,1,BnOH,285,1.23,Pyrophosphate,8.5,25,0.034,73.424,10.816
139,2,BnOH,285,1.23,Pyrophosphate,8.5,25,0.034,73.424,3.028
139,3,BnOH,285,1.23,Pyrophosphate,8.5,25,0.034,73.424,0.865
139,4,BnOH,285,1.23,Pyrophosphate,8.5,25,0.034,73.424,0.216
139,5,BnOH,285,1.23,Pyrophosphate,8.5,25,0.034,36.712,10.816
139,6,BnOH,285,1.23,Pyrophosphate,8.5,25,0.034,7.342,10.816
139,7,BnOH,285,1.23,Pyrophosphate,8.5,25,0.034,3.671,10.816
26,1,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,4.125
26,2,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,4.125
26,3,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,4.125
26,4,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,4.125
130,1,4OMe-BnOH,300,7.53,Pyrophosphate,7.29,25,0.032,195.882,9.47
130,2,4OMe-BnOH,300,7.53,Pyrophosphate,7.29,25,0.032,195.882,9.47
130,3,4OMe-BnOH,300,7.53,Pyrophosphate,7.29,25,0.032,3.879,9.47
130,4,4OMe-BnOH,300,7.53,Pyrophosphate,7.29,25,0.032,3.879,9.47
144,1,BnOH,285,1.23,Pyrophosphate,9.32,25,0.021,35.244,10.816
144,2,BnOH,285,1.23,Pyrophosphate,9.32,25,0.021,35.244,3.028
144,3,BnOH,285,1.23,Pyrophosphate,9.32,25,0.021,35.244,0.865
144,4,BnOH,285,1.23,Pyrophosphate,9.32,25,0.021,35.244,0.216
144,5,BnOH,285,1.23,Pyrophosphate,9.32,25,0.021,24.964,10.816
144,6,BnOH,285,1.23,Pyrophosphate,9.32,25,0.021,14.685,10.816
144,7,BnOH,285,1.23,Pyrophosphate,9.32,25,0.021,5.14,10.816
41,1,4OMe-BnOH,300,7.53,Boric,8.46,25,0.27,82.5,1.529
41,2,4OMe-BnOH,300,7.53,Boric,8.46,25,0.27,82.5,3.057
41,3,4OMe-BnOH,300,7.53,Boric,8.46,25,0.27,82.5,4.586
41,4,4OMe-BnOH,300,7.53,Boric,8.46,25,0.27,82.5,6.114
8,1,4OMe-BnOH,300,7.53,Phosphate,8.01,25,0.175,82.5,1.585
8,2,4OMe-BnOH,300,7.53,Phosphate,8.01,25,0.175,82.5,3.17
8,3,4OMe-BnOH,300,7.53,Phosphate,8.01,25,0.175,82.5,4.755
8,4,4OMe-BnOH,300,7.53,Phosphate,8.01,25,0.175,82.5,6.34
46,1,4OMe-BnOH,300,7.53,Boric,9.23,25,0.27,82.5,1.529
46,2,4OMe-BnOH,300,7.53,Boric,9.23,25,0.27,82.5,3.057
46,3,4OMe-BnOH,300,7.53,Boric,9.23,25,0.27,82.5,4.586
46,4,4OMe-BnOH,300,7.53,Boric,9.23,25,0.27,82.5,6.114
73,1,BnOH,285,1.23,Phosphate,7.5,25,0.028,122.426,6.325
73,2,BnOH,285,1.23,Phosphate,7.5,25,0.028,122.426,3.163
73,3,BnOH,285,1.23,Phosphate,7.5,25,0.028,122.426,1.265
73,4,BnOH,285,1.23,Phosphate,7.5,25,0.028,122.426,0.316
135,1,BnOH,285,1.23,Pyrophosphate,7.7,25,0.069,163.165,8.759
135,2,BnOH,285,1.23,Pyrophosphate,7.7,25,0.069,163.165,3.066
135,3,BnOH,285,1.23,Pyrophosphate,7.7,25,0.069,163.165,0.876
135,4,BnOH,285,1.23,Pyrophosphate,7.7,25,0.069,163.165,0.219
135,5,BnOH,285,1.23,Pyrophosphate,7.7,25,0.069,97.899,8.759
135,6,BnOH,285,1.23,Pyrophosphate,7.7,25,0.069,12.237,8.759
135,7,BnOH,285,1.23,Pyrophosphate,7.7,25,0.069,2.447,8.759
42,1,4OMe-BnOH,300,7.53,Boric,8.98,25,0.27,82.5,1.529
42,2,4OMe-BnOH,300,7.53,Boric,8.98,25,0.27,82.5,3.057
42,3,4OMe-BnOH,300,7.53,Boric,8.98,25,0.27,82.5,4.586
42,4,4OMe-BnOH,300,7.53,Boric,8.98,25,0.27,82.5,6.114
74,1,BnOH,285,1.23,Phosphate,8.0,25,0.028,122.426,6.325
74,2,BnOH,285,1.23,Phosphate,8.0,25,0.028,122.426,3.163
74,3,BnOH,285,1.23,Phosphate,8.0,25,0.028,122.426,1.265
74,4,BnOH,285,1.23,Phosphate,8.0,25,0.028,122.426,0.316
75,1,BnOH,285,1.23,Pyrophosphate,8.49,25,0.028,122.426,6.325
75,2,BnOH,285,1.23,Pyrophosphate,8.49,25,0.028,122.426,3.163
75,3,BnOH,285,1.23,Pyrophosphate,8.49,25,0.028,122.426,1.265
75,4,BnOH,285,1.23,Pyrophosphate,8.49,25,0.028,122.426,0.316
79,1,BnOH,285,1.23,Carbonate,9.4,25,0.0,122.426,6.325
79,2,BnOH,285,1.23,Carbonate,9.4,25,0.0,122.426,3.163
79,3,BnOH,285,1.23,Carbonate,9.4,25,0.0,122.426,1.265
79,4,BnOH,285,1.23,Carbonate,9.4,25,0.0,122.426,0.316
2,1,4OMe-BnOH,300,7.53,Phosphate,6.71,25,0.175,82.5,1.52
2,2,4OMe-BnOH,300,7.53,Phosphate,6.71,25,0.175,82.5,3.04
2,3,4OMe-BnOH,300,7.53,Phosphate,6.71,25,0.175,82.5,4.56
2,4,4OMe-BnOH,300,7.53,Phosphate,6.71,25,0.175,82.5,6.079
17,1,4OMe-BnOH,300,7.53,Phosphate,7.0,30,0.273,82.5,1.85
17,2,4OMe-BnOH,300,7.53,Phosphate,7.0,30,0.273,82.5,3.7
17,3,4OMe-BnOH,300,7.53,Phosphate,7.0,30,0.273,82.5,5.549
17,4,4OMe-BnOH,300,7.53,Phosphate,7.0,30,0.273,82.5,7.399
68,1,BnOH,285,1.23,Phosphate,8.01,25,0.028,122.426,7.31
68,2,BnOH,285,1.23,Phosphate,8.01,25,0.028,122.426,3.655
68,3,BnOH,285,1.23,Phosphate,8.01,25,0.028,122.426,1.827
68,4,BnOH,285,1.23,Phosphate,8.01,25,0.028,122.426,0.365
49,1,4OMe-BnOH,300,7.53,Boric,10.34,25,0.27,82.5,1.529
49,2,4OMe-BnOH,300,7.53,Boric,10.34,25,0.27,82.5,3.057
49,3,4OMe-BnOH,300,7.53,Boric,10.34,25,0.27,82.5,4.586
49,4,4OMe-BnOH,300,7.53,Boric,10.34,25,0.27,82.5,6.114
5,1,4OMe-BnOH,300,7.53,Phosphate,6.71,25,0.175,82.5,1.621
5,2,4OMe-BnOH,300,7.53,Phosphate,6.71,25,0.175,82.5,3.242
5,3,4OMe-BnOH,300,7.53,Phosphate,6.71,25,0.175,82.5,4.864
5,4,4OMe-BnOH,300,7.53,Phosphate,6.71,25,0.175,82.5,6.485
50,1,BnOH,285,1.23,Boric,9.7,25,0.28,82.5,2.062
50,2,BnOH,285,1.23,Boric,9.7,25,0.28,82.5,4.124
50,3,BnOH,285,1.23,Boric,9.7,25,0.28,82.5,6.186
50,4,BnOH,285,1.23,Boric,9.7,25,0.28,82.5,8.249
149,1,BnOH,285,1.23,Pyrophosphate,7.1,25,0.021,35.244,10.816
149,2,BnOH,285,1.23,Pyrophosphate,7.1,25,0.021,35.244,3.028
149,3,BnOH,285,1.23,Pyrophosphate,7.1,25,0.021,35.244,0.865
149,4,BnOH,285,1.23,Pyrophosphate,7.1,25,0.021,35.244,0.216
149,5,BnOH,285,1.23,Pyrophosphate,7.1,25,0.021,24.964,10.816
149,6,BnOH,285,1.23,Pyrophosphate,7.1,25,0.021,14.685,10.816
149,7,BnOH,285,1.23,Pyrophosphate,7.1,25,0.021,5.14,10.816
148,1,BnOH,285,1.23,Pyrophosphate,7.6,25,0.021,35.244,10.816
148,2,BnOH,285,1.23,Pyrophosphate,7.6,25,0.021,35.244,3.028
148,3,BnOH,285,1.23,Pyrophosphate,7.6,25,0.021,35.244,0.865
148,4,BnOH,285,1.23,Pyrophosphate,7.6,25,0.021,35.244,0.216
